date,serial_number,model,capacity_bytes,failure,datacenter,cluster_id,vault_id,pod_id,pod_slot_num,is_legacy_format,smart_1_normalized,smart_1_raw,smart_2_normalized,smart_2_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_8_normalized,smart_8_raw,smart_9_normalized,smart_9_raw,smart_10_normalized,smart_10_raw,smart_11_normalized,smart_11_raw,smart_12_normalized,smart_12_raw,smart_13_normalized,smart_13_raw,smart_15_normalized,smart_15_raw,smart_16_normalized,smart_16_raw,smart_17_normalized,smart_17_raw,smart_18_normalized,smart_18_raw,smart_22_normalized,smart_22_raw,smart_23_normalized,smart_23_raw,smart_24_normalized,smart_24_raw,smart_27_normalized,smart_27_raw,smart_71_normalized,smart_71_raw,smart_82_normalized,smart_82_raw,smart_90_normalized,smart_90_raw,smart_160_normalized,smart_160_raw,smart_161_normalized,smart_161_raw,smart_163_normalized,smart_163_raw,smart_164_normalized,smart_164_raw,smart_165_normalized,smart_165_raw,smart_166_normalized,smart_166_raw,smart_167_normalized,smart_167_raw,smart_168_normalized,smart_168_raw,smart_169_normalized,smart_169_raw,smart_170_normalized,smart_170_raw,smart_171_normalized,smart_171_raw,smart_172_normalized,smart_172_raw,smart_173_normalized,smart_173_raw,smart_174_normalized,smart_174_raw,smart_175_normalized,smart_175_raw,smart_176_normalized,smart_176_raw,smart_177_normalized,smart_177_raw,smart_178_normalized,smart_178_raw,smart_179_normalized,smart_179_raw,smart_180_normalized,smart_180_raw,smart_181_normalized,smart_181_raw,smart_182_normalized,smart_182_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_191_normalized,smart_191_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_195_normalized,smart_195_raw,smart_196_normalized,smart_196_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,smart_200_normalized,smart_200_raw,smart_201_normalized,smart_201_raw,smart_202_normalized,smart_202_raw,smart_206_normalized,smart_206_raw,smart_210_normalized,smart_210_raw,smart_218_normalized,smart_218_raw,smart_220_normalized,smart_220_raw,smart_222_normalized,smart_222_raw,smart_223_normalized,smart_223_raw,smart_224_normalized,smart_224_raw,smart_225_normalized,smart_225_raw,smart_226_normalized,smart_226_raw,smart_230_normalized,smart_230_raw,smart_231_normalized,smart_231_raw,smart_232_normalized,smart_232_raw,smart_233_normalized,smart_233_raw,smart_234_normalized,smart_234_raw,smart_235_normalized,smart_235_raw,smart_240_normalized,smart_240_raw,smart_241_normalized,smart_241_raw,smart_242_normalized,smart_242_raw,smart_244_normalized,smart_244_raw,smart_245_normalized,smart_245_raw,smart_246_normalized,smart_246_raw,smart_247_normalized,smart_247_raw,smart_248_normalized,smart_248_raw,smart_250_normalized,smart_250_raw,smart_251_normalized,smart_251_raw,smart_252_normalized,smart_252_raw,smart_254_normalized,smart_254_raw,smart_255_normalized,smart_255_raw,source_file
2024-01-02,22G0A1J7FV8G,TOSHIBA MG08ACA16TEY,16000900661248,1,ams5,31,2020,12,,False,100.0,0.0,100.0,0.0,100.0,6748.0,100.0,16.0,100.0,0.0,95.0,0.0,100.0,0.0,71.0,11722.0,100.0,0.0,,,100.0,16.0,,,,,,,,,,,,,100.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,15.0,100.0,1517.0,100.0,32.0,,,100.0,0.0,,,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,92116663394.0,100.0,129226813726.0,,,,,,,,,,,,,,,,,,,,,2024-01-02.csv
2024-01-02,3WKD96NK,WDC WUH721816ALE6L4,16000900661248,1,phx1,40,2014,13,8.0,False,100.0,0.0,136.0,96.0,83.0,352.0,100.0,10.0,100.0,1.0,100.0,0.0,140.0,15.0,99.0,10124.0,100.0,0.0,,,100.0,10.0,,,,,,,,,,,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,920.0,100.0,920.0,64.0,31.0,,,100.0,1.0,100.0,0.0,100.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-02.csv
2024-01-03,Z302AKQM,ST4000DM000,4000787030016,1,sac0,0,1004,10,20.0,False,105.0,8656384.0,,,91.0,0.0,100.0,10.0,100.0,0.0,89.0,834953100.0,,,14.0,75673.0,100.0,0.0,,,100.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,97.0,3.0,100.0,0.0,100.0,0.0,77.0,23.0,100.0,0.0,100.0,1.0,81.0,39872.0,23.0,23.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,75511.0,100.0,74310829528.0,100.0,480080716760.0,,,,,,,,,,,,,,,,,,,,,2024-01-03.csv
2024-01-03,Z302AYMF,ST4000DM000,4000787030016,1,sac0,0,1004,10,7.0,False,117.0,125329768.0,,,92.0,0.0,100.0,10.0,100.0,0.0,88.0,783118668.0,,,14.0,75673.0,100.0,0.0,,,100.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,81.0,19.0,100.0,0.0,100.0,1.0,83.0,35870.0,19.0,19.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,75527.0,100.0,74956076472.0,100.0,499063821671.0,,,,,,,,,,,,,,,,,,,,,2024-01-03.csv
2024-01-03,S301GV8P,ST4000DM000,4000787030016,1,sac0,0,1012,9,31.0,False,116.0,202565176.0,,,91.0,0.0,100.0,20.0,98.0,2592.0,88.0,690373181.0,,,19.0,71704.0,100.0,0.0,,,100.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0,2.0,100.0,0.0,67.0,33.0,100.0,0.0,100.0,0.0,75.0,25.0,100.0,0.0,100.0,0.0,92.0,17033.0,25.0,25.0,,,,,100.0,32.0,100.0,32.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,71592.0,100.0,69833110744.0,100.0,513024768336.0,,,,,,,,,,,,,,,,,,,,,2024-01-03.csv
2024-01-03,ZA11R2A8,ST8000DM002,8001563222016,1,sac0,0,1033,0,9.0,False,52.0,48297672.0,,,84.0,0.0,100.0,18.0,40.0,41280.0,92.0,1461696353.0,,,26.0,65292.0,100.0,0.0,,,100.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,1.0,221.0,100.0,0.0,100.0,0.0,72.0,28.0,79.0,42234.0,100.0,5.0,67.0,66461.0,28.0,28.0,17.0,48297672.0,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,65225.0,100.0,117986457312.0,100.0,515449874082.0,,,,,,,,,,,,,,,,,,,,,2024-01-03.csv
2024-01-03,ZA1261V0,ST8000DM002,8001563222016,1,sac0,0,1034,5,42.0,False,49.0,217198178.0,,,84.0,0.0,100.0,12.0,93.0,29904.0,90.0,1055659385.0,,,25.0,65929.0,100.0,0.0,,,100.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,12.0,88.0,100.0,1.0,100.0,0.0,70.0,30.0,93.0,15090.0,100.0,4.0,77.0,46919.0,30.0,30.0,20.0,217198178.0,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,65662.0,100.0,120661007416.0,100.0,553203558678.0,,,,,,,,,,,,,,,,,,,,,2024-01-03.csv
2024-01-03,ZA16DWJE,ST8000NM0055,8001563222016,1,sac0,0,1039,18,18.0,False,81.0,132884432.0,,,89.0,0.0,100.0,22.0,100.0,8.0,94.0,2432931636.0,,,32.0,59761.0,100.0,0.0,,,100.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,65.0,35.0,93.0,14020.0,100.0,42.0,73.0,54238.0,35.0,35.0,81.0,132884432.0,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,59681.0,100.0,107073655936.0,100.0,520432604828.0,,,,,,,,,,,,,,,,,,,,,2024-01-03.csv
2024-01-03,ZA1819EV,ST8000NM0055,8001563222016,1,sac0,0,1044,3,49.0,False,73.0,19901656.0,,,89.0,0.0,100.0,31.0,100.0,56.0,93.0,2159365741.0,,,36.0,56780.0,100.0,0.0,,,100.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,68.0,32.0,90.0,20717.0,100.0,23.0,65.0,71546.0,32.0,32.0,73.0,19901656.0,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,56720.0,100.0,103544616808.0,100.0,496172676460.0,,,,,,,,,,,,,,,,,,,,,2024-01-03.csv
2024-01-03,40P0A0RWF97G,TOSHIBA MG07ACA14TA,14000519643136,1,phx1,0,1073,18,32.0,False,100.0,0.0,100.0,0.0,100.0,7941.0,100.0,10.0,100.0,0.0,100.0,0.0,100.0,0.0,24.0,30459.0,100.0,0.0,,,100.0,9.0,,,,,,,,,,,,,100.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,267.0,100.0,4.0,100.0,103.0,100.0,34.0,,,100.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,100.0,101711874.0,25.0,30140.0,100.0,0.0,100.0,0.0,,,100.0,585.0,,,,,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2024-01-03.csv
