date,serial_number,model,capacity_bytes,failure,vault_id,pod_id,is_legacy_format,smart_1_normalized,smart_1_raw,smart_2_normalized,smart_2_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_8_normalized,smart_8_raw,smart_9_normalized,smart_9_raw,smart_10_normalized,smart_10_raw,smart_11_normalized,smart_11_raw,smart_12_normalized,smart_12_raw,smart_13_normalized,smart_13_raw,smart_15_normalized,smart_15_raw,smart_16_normalized,smart_16_raw,smart_17_normalized,smart_17_raw,smart_18_normalized,smart_18_raw,smart_22_normalized,smart_22_raw,smart_23_normalized,smart_23_raw,smart_24_normalized,smart_24_raw,smart_71_normalized,smart_71_raw,smart_90_normalized,smart_90_raw,smart_160_normalized,smart_160_raw,smart_161_normalized,smart_161_raw,smart_163_normalized,smart_163_raw,smart_164_normalized,smart_164_raw,smart_165_normalized,smart_165_raw,smart_166_normalized,smart_166_raw,smart_167_normalized,smart_167_raw,smart_168_normalized,smart_168_raw,smart_169_normalized,smart_169_raw,smart_170_normalized,smart_170_raw,smart_171_normalized,smart_171_raw,smart_172_normalized,smart_172_raw,smart_173_normalized,smart_173_raw,smart_174_normalized,smart_174_raw,smart_175_normalized,smart_175_raw,smart_176_normalized,smart_176_raw,smart_177_normalized,smart_177_raw,smart_178_normalized,smart_178_raw,smart_179_normalized,smart_179_raw,smart_180_normalized,smart_180_raw,smart_181_normalized,smart_181_raw,smart_182_normalized,smart_182_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_191_normalized,smart_191_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_195_normalized,smart_195_raw,smart_196_normalized,smart_196_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,smart_200_normalized,smart_200_raw,smart_201_normalized,smart_201_raw,smart_202_normalized,smart_202_raw,smart_206_normalized,smart_206_raw,smart_210_normalized,smart_210_raw,smart_218_normalized,smart_218_raw,smart_220_normalized,smart_220_raw,smart_222_normalized,smart_222_raw,smart_223_normalized,smart_223_raw,smart_224_normalized,smart_224_raw,smart_225_normalized,smart_225_raw,smart_226_normalized,smart_226_raw,smart_230_normalized,smart_230_raw,smart_231_normalized,smart_231_raw,smart_232_normalized,smart_232_raw,smart_233_normalized,smart_233_raw,smart_234_normalized,smart_234_raw,smart_235_normalized,smart_235_raw,smart_240_normalized,smart_240_raw,smart_241_normalized,smart_241_raw,smart_242_normalized,smart_242_raw,smart_244_normalized,smart_244_raw,smart_245_normalized,smart_245_raw,smart_246_normalized,smart_246_raw,smart_247_normalized,smart_247_raw,smart_248_normalized,smart_248_raw,smart_250_normalized,smart_250_raw,smart_251_normalized,smart_251_raw,smart_252_normalized,smart_252_raw,smart_254_normalized,smart_254_raw,smart_255_normalized,smart_255_raw,source_file
2023-04-01,AAG68EWH,HGST HUH721212ALN604,12000138625024,1,1118,3,False,100.0,0.0,100.0,0.0,163.0,406.0,100.0,10.0,100.0,2.0,100.0,0.0,100.0,0.0,95.0,37501.0,100.0,0.0,,,100.0,10.0,,,,,,,,,,,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,2103.0,99.0,2103.0,153.0,39.0,,,100.0,2.0,100.0,23.0,100.0,24.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-01.csv
2023-04-01,8HGXNP2H,HGST HUH721212ALE604,12000138625024,1,1145,18,False,100.0,0.0,132.0,96.0,164.0,401.0,100.0,15.0,100.0,0.0,100.0,0.0,128.0,18.0,97.0,22868.0,100.0,0.0,,,100.0,15.0,,,,,,,,,,,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,821.0,100.0,821.0,193.0,31.0,,,100.0,0.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-01.csv
2023-04-02,Z3029ZR2,ST4000DM000,4000787030016,1,1001,7,False,115.0,97136192.0,,,92.0,0.0,100.0,9.0,100.0,8.0,85.0,385994309.0,,,19.0,71429.0,100.0,0.0,,,100.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0,3.0,100.0,0.0,1.0,113.0,100.0,0.0,100.0,0.0,79.0,21.0,100.0,0.0,100.0,1.0,72.0,56191.0,21.0,21.0,,,,,99.0,272.0,99.0,272.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,71233.0,100.0,76595482240.0,100.0,434273150655.0,,,,,,,,,,,,,,,,,,,,,2023-04-02.csv
2023-04-02,Z3059JWE,ST4000DM000,4000787030016,1,1018,0,False,118.0,182256104.0,,,91.0,0.0,100.0,28.0,100.0,0.0,82.0,171292436.0,,,28.0,63226.0,100.0,0.0,,,100.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,69.0,31.0,100.0,0.0,100.0,7.0,95.0,10448.0,31.0,31.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,63164.0,100.0,64903397704.0,100.0,465640755345.0,,,,,,,,,,,,,,,,,,,,,2023-04-02.csv
2023-04-02,ZA16DEVN,ST8000NM0055,8001563222016,1,1040,14,False,77.0,45380408.0,,,89.0,0.0,100.0,13.0,97.0,11759.0,90.0,1005521654.0,,,40.0,52868.0,100.0,0.0,,,100.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,70.0,30.0,100.0,0.0,100.0,0.0,60.0,40.0,95.0,11313.0,100.0,63.0,72.0,56173.0,40.0,40.0,77.0,45380408.0,,,100.0,96.0,100.0,96.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,52805.0,100.0,95168827400.0,100.0,440272235212.0,,,,,,,,,,,,,,,,,,,,,2023-04-02.csv
2023-04-02,ZA171RWG,ST8000NM0055,8001563222016,1,1041,5,False,80.0,89791024.0,,,90.0,0.0,100.0,14.0,100.0,624.0,93.0,2175690178.0,,,41.0,51858.0,100.0,0.0,,,100.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,1.0,120.0,100.0,0.0,100.0,0.0,77.0,23.0,93.0,14504.0,100.0,63.0,65.0,71426.0,23.0,23.0,80.0,89791024.0,,,100.0,112.0,100.0,112.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,51795.0,100.0,94339720768.0,100.0,445935222198.0,,,,,,,,,,,,,,,,,,,,,2023-04-02.csv
2023-04-02,ZA1806EB,ST8000NM0055,8001563222016,1,1055,1,False,50.0,144283496.0,,,89.0,0.0,100.0,17.0,12.0,19944.0,96.0,3647721974.0,,,45.0,48984.0,100.0,0.0,,,100.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,1.0,485.0,100.0,0.0,100.0,0.0,65.0,35.0,93.0,14520.0,100.0,165.0,91.0,19611.0,35.0,35.0,82.0,144283496.0,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,48766.0,100.0,88835890448.0,100.0,712720556328.0,,,,,,,,,,,,,,,,,,,,,2023-04-02.csv
2023-04-02,ZL2CWPWQ,ST14000NM001G,14000519643136,1,1085,3,False,82.0,174519816.0,,,90.0,0.0,100.0,11.0,100.0,0.0,84.0,271533217.0,,,82.0,16345.0,100.0,0.0,,,100.0,11.0,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,40.0,100.0,0.0,,,65.0,35.0,,,100.0,4.0,100.0,1169.0,35.0,35.0,,,,,100.0,8.0,100.0,8.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,16085.0,100.0,105452075904.0,100.0,185985144476.0,,,,,,,,,,,,,,,,,,,,,2023-04-02.csv
2023-04-02,ZA155872,ST8000NM0055,8001563222016,1,1091,15,False,66.0,167834496.0,,,87.0,0.0,100.0,7.0,100.0,3904.0,96.0,3562624651.0,,,47.0,46637.0,100.0,0.0,,,100.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,95.0,5.0,100.0,0.0,100.0,0.0,61.0,39.0,91.0,19737.0,100.0,0.0,67.0,66430.0,39.0,39.0,18.0,167834496.0,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,46613.0,100.0,80748284176.0,100.0,413303640306.0,,,,,,,,,,,,,,,,,,,,,2023-04-02.csv
2023-04-02,ZLW0GPDR,ST12000NM001G,12000138625024,1,1102,11,False,100.0,356928.0,,,94.0,0.0,100.0,5.0,100.0,1768.0,85.0,336224669.0,,,79.0,18745.0,100.0,0.0,,,100.0,5.0,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.0,21.0,100.0,0.0,,,76.0,24.0,,,100.0,0.0,100.0,1663.0,24.0,24.0,,,,,100.0,24.0,100.0,24.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,18029.0,100.0,67660542400.0,100.0,225801877056.0,,,,,,,,,,,,,,,,,,,,,2023-04-02.csv
