date,serial_number,model,capacity_bytes,failure,datacenter,cluster_id,vault_id,pod_id,pod_slot_num,is_legacy_format,smart_1_normalized,smart_1_raw,smart_2_normalized,smart_2_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_8_normalized,smart_8_raw,smart_9_normalized,smart_9_raw,smart_10_normalized,smart_10_raw,smart_11_normalized,smart_11_raw,smart_12_normalized,smart_12_raw,smart_13_normalized,smart_13_raw,smart_15_normalized,smart_15_raw,smart_16_normalized,smart_16_raw,smart_17_normalized,smart_17_raw,smart_18_normalized,smart_18_raw,smart_22_normalized,smart_22_raw,smart_23_normalized,smart_23_raw,smart_24_normalized,smart_24_raw,smart_27_normalized,smart_27_raw,smart_71_normalized,smart_71_raw,smart_82_normalized,smart_82_raw,smart_90_normalized,smart_90_raw,smart_160_normalized,smart_160_raw,smart_161_normalized,smart_161_raw,smart_163_normalized,smart_163_raw,smart_164_normalized,smart_164_raw,smart_165_normalized,smart_165_raw,smart_166_normalized,smart_166_raw,smart_167_normalized,smart_167_raw,smart_168_normalized,smart_168_raw,smart_169_normalized,smart_169_raw,smart_170_normalized,smart_170_raw,smart_171_normalized,smart_171_raw,smart_172_normalized,smart_172_raw,smart_173_normalized,smart_173_raw,smart_174_normalized,smart_174_raw,smart_175_normalized,smart_175_raw,smart_176_normalized,smart_176_raw,smart_177_normalized,smart_177_raw,smart_178_normalized,smart_178_raw,smart_179_normalized,smart_179_raw,smart_180_normalized,smart_180_raw,smart_181_normalized,smart_181_raw,smart_182_normalized,smart_182_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_191_normalized,smart_191_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_195_normalized,smart_195_raw,smart_196_normalized,smart_196_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,smart_200_normalized,smart_200_raw,smart_201_normalized,smart_201_raw,smart_202_normalized,smart_202_raw,smart_206_normalized,smart_206_raw,smart_210_normalized,smart_210_raw,smart_211_normalized,smart_211_raw,smart_212_normalized,smart_212_raw,smart_218_normalized,smart_218_raw,smart_220_normalized,smart_220_raw,smart_222_normalized,smart_222_raw,smart_223_normalized,smart_223_raw,smart_224_normalized,smart_224_raw,smart_225_normalized,smart_225_raw,smart_226_normalized,smart_226_raw,smart_230_normalized,smart_230_raw,smart_231_normalized,smart_231_raw,smart_232_normalized,smart_232_raw,smart_233_normalized,smart_233_raw,smart_234_normalized,smart_234_raw,smart_235_normalized,smart_235_raw,smart_240_normalized,smart_240_raw,smart_241_normalized,smart_241_raw,smart_242_normalized,smart_242_raw,smart_244_normalized,smart_244_raw,smart_245_normalized,smart_245_raw,smart_246_normalized,smart_246_raw,smart_247_normalized,smart_247_raw,smart_248_normalized,smart_248_raw,smart_250_normalized,smart_250_raw,smart_251_normalized,smart_251_raw,smart_252_normalized,smart_252_raw,smart_254_normalized,smart_254_raw,smart_255_normalized,smart_255_raw
02-10-2024,ZLW17S8L,ST14000NM001G,1.40005E+13,1,sac2,0,1151,8,32,FALSE,83,182906448,,,94,0,100,5,100,0,74,4320214284,,,62,34039,100,0,,,100,5,,,,,,,,,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,26,100,0,,,57,43,,,100,0,99,3574,43,43,,,,,100,112,100,112,200,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,33463,100,1.4798E+11,100,5.00153E+11,,,,,,,,,,,,,,,,,,,,
02-10-2024,X2A0A0AKFVKG,TOSHIBA MG08ACA16TA,1.60009E+13,1,phx1,0,1411,3,41,FALSE,100,0,100,0,100,8152,100,16,100,0,100,0,100,0,77,9494,100,0,,,100,16,,,,,,,,,,,,,100,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,21,100,15,100,28,100,30,,,100,0,100,0,100,0,200,0,,,,,,,,,,,,,,,,,100,117571588,78,8873,100,0,100,0,,,100,533,,,,,,,,,,,,,100,0,,,,,,,,,,,,,,,,,,,,,,,,
02-10-2024,7190A0LWFVGG,TOSHIBA MG08ACA16TE,1.60009E+13,1,phx1,40,2001,7,46,FALSE,100,0,100,0,100,8053,100,18,10,8983,100,0,100,0,37,25464,100,0,,,100,18,,,,,,,,,,,,,100,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,100,17,100,266,100,36,,,100,2940,100,0,100,0,200,0,,,,,,,,,,,,,,,,,100,786436,37,25396,100,0,100,0,,,100,588,,,,,,,,,,,,,100,0,,,,,,,,,,,,,,,,,,,,,,,,
02-10-2024,6210A0DPFVKG,TOSHIBA MG08ACA16TA,1.60009E+13,1,iad1,50,1001,9,0,FALSE,100,0,70,0,100,7864,100,17,100,0,100,0,100,0,58,17122,100,0,,,100,17,,,,,,,,,,,,,100,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,12286,100,16,100,883,100,24,,,100,0,100,2,100,2,200,0,,,,,,,,,,,,,,,,,100,1310725,59,16747,100,0,100,0,,,100,595,,,,,,,,,,,,,100,0,,,,,,,,,,,,,,,,,,,,,,,,
02-10-2024,6240A11KFVKG,TOSHIBA MG08ACA16TA,1.60009E+13,1,iad1,50,1003,7,1,FALSE,100,0,80,0,100,7945,100,9,100,0,100,0,100,0,58,17157,100,0,,,100,9,,,,,,,,,,,,,100,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,175,100,8,100,1474,100,22,,,100,0,100,6,100,6,200,0,,,,,,,,,,,,,,,,,100,1703938,59,16721,100,0,100,0,,,100,532,,,,,,,,,,,,,100,0,,,,,,,,,,,,,,,,,,,,,,,,
02-10-2024,6240A1J6FVKG,TOSHIBA MG08ACA16TA,1.60009E+13,1,iad1,50,1003,16,10,FALSE,100,0,100,0,100,8046,100,7,100,0,100,0,100,0,58,17137,100,0,,,100,7,,,,,,,,,,,,,100,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,100,6,100,1437,100,26,,,100,0,100,3,100,0,200,0,,,,,,,,,,,,,,,,,100,17825795,58,16817,100,0,100,0,,,100,534,,,,,,,,,,,,,100,0,,,,,,,,,,,,,,,,,,,,,,,,
25-11-2024,ZHZ43N78,ST12000NM0008,1.20001E+13,1,phx1,0,1064,2,,FALSE,69,8634800,,,91,0,100,11,100,0,88,685436551,,,50,43871,100,0,,,100,10,,,,,,,,,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,190,100,25771442201,,,72,28,,,100,449,100,1978,28,28,1,8634800,,,100,0,100,0,200,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,43628,100,1.29994E+11,100,7.53073E+11,,,,,,,,,,,,,,,,,,,,
25-11-2024,ZHZ4WE1V,ST12000NM0008,1.20001E+13,1,phx1,0,1065,9,,FALSE,67,5030288,,,90,0,100,25,100,8,72,51752806139,,,51,43528,100,0,,,100,25,,,,,,,,,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,28,100,1.76099E+11,,,62,38,,,100,7,99,2776,38,38,5,5030288,,,100,32,100,32,200,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,42954,100,1.28732E+11,100,8.03648E+11,,,,,,,,,,,,,,,,,,,,
25-11-2024,ZL23X4BP,ST16000NM001G,1.60009E+13,1,phx1,0,1081,19,26,FALSE,81,138662440,,,92,0,100,7,100,0,85,352242408,,,63,32520,100,0,,,100,7,,,,,,,,,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,0,100,0,,,68,32,,,100,0,99,2375,32,32,,,,,100,0,100,0,200,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,32025,100,1.56405E+11,100,4.58727E+11,,,,,,,,,,,,,,,,,,,,
25-11-2024,ZL23XAPS,ST16000NM001G,1.60009E+13,1,phx1,0,1081,19,14,FALSE,78,129632056,,,92,0,100,7,100,1136,85,347330718,,,63,32517,100,0,,,100,7,,,,,,,,,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,33,100,0,,,72,28,,,100,1,99,2433,28,28,,,,,100,224,100,224,200,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,32033,100,1.55743E+11,100,4.63042E+11,,,,,,,,,,,,,,,,,,,,
