date,serial_number,model,capacity_bytes,failure,datacenter,cluster_id,vault_id,pod_id,pod_slot_num,is_legacy_format,smart_1_normalized,smart_1_raw,smart_2_normalized,smart_2_raw,smart_3_normalized,smart_3_raw,smart_4_normalized,smart_4_raw,smart_5_normalized,smart_5_raw,smart_7_normalized,smart_7_raw,smart_8_normalized,smart_8_raw,smart_9_normalized,smart_9_raw,smart_10_normalized,smart_10_raw,smart_11_normalized,smart_11_raw,smart_12_normalized,smart_12_raw,smart_13_normalized,smart_13_raw,smart_15_normalized,smart_15_raw,smart_16_normalized,smart_16_raw,smart_17_normalized,smart_17_raw,smart_18_normalized,smart_18_raw,smart_22_normalized,smart_22_raw,smart_23_normalized,smart_23_raw,smart_24_normalized,smart_24_raw,smart_27_normalized,smart_27_raw,smart_71_normalized,smart_71_raw,smart_82_normalized,smart_82_raw,smart_90_normalized,smart_90_raw,smart_160_normalized,smart_160_raw,smart_161_normalized,smart_161_raw,smart_163_normalized,smart_163_raw,smart_164_normalized,smart_164_raw,smart_165_normalized,smart_165_raw,smart_166_normalized,smart_166_raw,smart_167_normalized,smart_167_raw,smart_168_normalized,smart_168_raw,smart_169_normalized,smart_169_raw,smart_170_normalized,smart_170_raw,smart_171_normalized,smart_171_raw,smart_172_normalized,smart_172_raw,smart_173_normalized,smart_173_raw,smart_174_normalized,smart_174_raw,smart_175_normalized,smart_175_raw,smart_176_normalized,smart_176_raw,smart_177_normalized,smart_177_raw,smart_178_normalized,smart_178_raw,smart_179_normalized,smart_179_raw,smart_180_normalized,smart_180_raw,smart_181_normalized,smart_181_raw,smart_182_normalized,smart_182_raw,smart_183_normalized,smart_183_raw,smart_184_normalized,smart_184_raw,smart_187_normalized,smart_187_raw,smart_188_normalized,smart_188_raw,smart_189_normalized,smart_189_raw,smart_190_normalized,smart_190_raw,smart_191_normalized,smart_191_raw,smart_192_normalized,smart_192_raw,smart_193_normalized,smart_193_raw,smart_194_normalized,smart_194_raw,smart_195_normalized,smart_195_raw,smart_196_normalized,smart_196_raw,smart_197_normalized,smart_197_raw,smart_198_normalized,smart_198_raw,smart_199_normalized,smart_199_raw,smart_200_normalized,smart_200_raw,smart_201_normalized,smart_201_raw,smart_202_normalized,smart_202_raw,smart_206_normalized,smart_206_raw,smart_210_normalized,smart_210_raw,smart_211_normalized,smart_211_raw,smart_212_normalized,smart_212_raw,smart_218_normalized,smart_218_raw,smart_220_normalized,smart_220_raw,smart_222_normalized,smart_222_raw,smart_223_normalized,smart_223_raw,smart_224_normalized,smart_224_raw,smart_225_normalized,smart_225_raw,smart_226_normalized,smart_226_raw,smart_230_normalized,smart_230_raw,smart_231_normalized,smart_231_raw,smart_232_normalized,smart_232_raw,smart_233_normalized,smart_233_raw,smart_234_normalized,smart_234_raw,smart_235_normalized,smart_235_raw,smart_240_normalized,smart_240_raw,smart_241_normalized,smart_241_raw,smart_242_normalized,smart_242_raw,smart_244_normalized,smart_244_raw,smart_245_normalized,smart_245_raw,smart_246_normalized,smart_246_raw,smart_247_normalized,smart_247_raw,smart_248_normalized,smart_248_raw,smart_250_normalized,smart_250_raw,smart_251_normalized,smart_251_raw,smart_252_normalized,smart_252_raw,smart_254_normalized,smart_254_raw,smart_255_normalized,smart_255_raw,source_file
2025-04-01,ZA11TWVV,ST8000DM002,8001563222016,1,sac0,0,1034,9,,False,48.0,194909408.0,,,85.0,0.0,100.0,29.0,89.0,45160.0,96.0,4052842355.0,,,13.0,76813.0,100.0,0.0,,,100.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,1.0,125.0,99.0,1.0,100.0,0.0,78.0,22.0,86.0,29754.0,100.0,4.0,79.0,42930.0,22.0,22.0,17.0,194909408.0,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,76761.0,100.0,137648998912.0,100.0,648933179354.0,,,,,,,,,,,,,,,,,,,,,2025-04-01.csv
2025-04-01,ZA127YA6,ST8000DM002,8001563222016,1,sac0,0,1034,7,,False,48.0,149668278.0,,,84.0,0.0,100.0,10.0,85.0,59776.0,96.0,3699984059.0,,,13.0,76819.0,100.0,0.0,,,100.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,1.0,268.0,100.0,0.0,100.0,0.0,75.0,25.0,89.0,22975.0,100.0,1.0,80.0,41637.0,25.0,25.0,18.0,149668278.0,,,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,76748.0,100.0,137955436904.0,100.0,650041435975.0,,,,,,,,,,,,,,,,,,,,,2025-04-01.csv
2025-04-01,X880A02JF97G,TOSHIBA MG07ACA14TA,14000519643136,1,phx1,0,1063,5,,False,100.0,0.0,100.0,0.0,100.0,7868.0,100.0,28.0,100.0,0.0,100.0,0.0,100.0,0.0,1.0,47363.0,100.0,0.0,,,100.0,28.0,,,,,,,,,,,,,100.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,89.0,100.0,6.0,100.0,99.0,100.0,37.0,,,100.0,0.0,100.0,1.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,100.0,786432.0,1.0,47219.0,100.0,0.0,100.0,0.0,,,100.0,588.0,,,,,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01.csv
2025-04-01,X880A0L2F97G,TOSHIBA MG07ACA14TA,14000519643136,1,phx1,0,1063,7,,False,100.0,0.0,100.0,0.0,100.0,7828.0,100.0,20.0,100.0,45.0,100.0,0.0,100.0,0.0,1.0,47365.0,100.0,0.0,,,100.0,18.0,,,,,,,,,,,,,100.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,64.0,100.0,4.0,100.0,97.0,100.0,31.0,,,100.0,45.0,100.0,9.0,100.0,124.0,200.0,0.0,,,,,,,,,,,,,,,,,100.0,17039361.0,1.0,47203.0,100.0,0.0,100.0,0.0,,,100.0,583.0,,,,,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01.csv
2025-04-01,ZHZ63CG9,ST12000NM0008,12000138625024,1,phx1,0,1068,18,,False,55.0,5408048.0,,,90.0,0.0,100.0,29.0,93.0,30992.0,88.0,695441821.0,,,49.0,44720.0,100.0,0.0,,,100.0,26.0,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,330.0,100.0,3014702.0,,,70.0,30.0,,,100.0,3.0,99.0,3606.0,30.0,30.0,1.0,5408048.0,,,100.0,16.0,100.0,16.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,44107.0,100.0,137887026024.0,100.0,804258509661.0,,,,,,,,,,,,,,,,,,,,,2025-04-01.csv
2025-04-01,ZL23XSEE,ST16000NM001G,16000900661248,1,phx1,0,1087,12,59.0,False,57.0,106180682.0,,,90.0,0.0,100.0,18.0,100.0,4560.0,83.0,194553889.0,,,62.0,33353.0,100.0,0.0,,,100.0,17.0,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,128.0,100.0,0.0,,,67.0,33.0,,,100.0,9.0,99.0,3423.0,33.0,33.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,32356.0,100.0,160719709488.0,100.0,488319463060.0,,,,,,,,,,,,,,,,,,,,,2025-04-01.csv
2025-04-01,ZL23XZKF,ST16000NM001G,16000900661248,1,phx1,0,1087,5,,False,79.0,88843728.0,,,90.0,0.0,100.0,14.0,100.0,16.0,88.0,611993337.0,,,62.0,33354.0,100.0,0.0,,,100.0,14.0,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0,11.0,100.0,0.0,,,64.0,36.0,,,100.0,8.0,99.0,3367.0,36.0,36.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,32386.0,100.0,163366892888.0,100.0,518371323828.0,,,,,,,,,,,,,,,,,,,,,2025-04-01.csv
2025-04-01,ZA18CEXZ,ST8000NM0055,8001563222016,1,sac0,0,1092,11,43.0,False,49.0,215721920.0,,,89.0,0.0,100.0,13.0,95.0,21481.0,90.0,1020320217.0,,,25.0,66416.0,100.0,0.0,,,100.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,25.0,75.0,100.0,0.0,100.0,0.0,55.0,45.0,89.0,22144.0,100.0,83.0,56.0,89055.0,45.0,45.0,83.0,215721920.0,,,100.0,32.0,100.0,32.0,200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,66338.0,100.0,107916621016.0,100.0,596363595416.0,,,,,,,,,,,,,,,,,,,,,2025-04-01.csv
2025-04-01,10W0A00ZF97G,TOSHIBA MG07ACA14TA,14000519643136,1,sac2,0,1094,17,,False,100.0,0.0,100.0,0.0,100.0,7838.0,100.0,7.0,100.0,3.0,100.0,0.0,100.0,0.0,14.0,34509.0,100.0,0.0,,,100.0,6.0,,,,,,,,,,,,,100.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,2118.0,100.0,2.0,100.0,14.0,100.0,35.0,,,100.0,3.0,100.0,0.0,100.0,0.0,200.0,0.0,,,,,,,,,,,,,,,,,100.0,524289.0,14.0,34482.0,100.0,0.0,100.0,0.0,,,100.0,578.0,,,,,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2025-04-01.csv
2025-04-01,ZL23EM8L,ST12000NM001G,12000138625024,1,sac2,0,1110,13,,False,77.0,52526853.0,,,90.0,0.0,100.0,14.0,100.0,8.0,85.0,307262492.0,,,61.0,34676.0,100.0,0.0,,,100.0,13.0,,,,,,,,,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,100.0,81605623827.0,,,70.0,30.0,,,100.0,3.0,100.0,1729.0,30.0,30.0,,,,,100.0,0.0,100.0,0.0,200.0,0.0,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,34478.0,100.0,124743522432.0,100.0,332100283983.0,,,,,,,,,,,,,,,,,,,,,2025-04-01.csv
